Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TSTroubleshoot,Chrome 68.0.3440.106,Troubleshooting test suite,2018-09-12 15:26:41,2018-09-12 15:27:49,1m - 8.627s,FAILED
,,,,,,
Test Cases/WHTroubleshootMakeAppt,Chrome 68.0.3440.106,Make an appointment,2018-09-12 15:26:41,2018-09-12 15:27:19,37.844s,FAILED
openBrowser,Chrome 68.0.3440.106,,2018-09-12 15:26:42,2018-09-12 15:26:47,4.855s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-12 15:26:47,2018-09-12 15:26:48,1.621s,PASSED
click,Chrome 68.0.3440.106,,2018-09-12 15:26:48,2018-09-12 15:26:49,0.435s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-12 15:26:49,2018-09-12 15:26:49,0.259s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-12 15:26:49,2018-09-12 15:26:49,0.244s,PASSED
click,Chrome 68.0.3440.106,,2018-09-12 15:26:49,2018-09-12 15:26:49,0.266s,PASSED
selectOptionByValue,Chrome 68.0.3440.106,,2018-09-12 15:26:49,2018-09-12 15:26:50,0.299s,PASSED
click,Chrome 68.0.3440.106,,2018-09-12 15:26:50,2018-09-12 15:26:50,0.123s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-12 15:26:50,2018-09-12 15:26:50,0.314s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-12 15:26:50,2018-09-12 15:26:50,0.320s,PASSED
click,Chrome 68.0.3440.106,,2018-09-12 15:26:50,2018-09-12 15:26:51,0.278s,PASSED
click,Chrome 68.0.3440.106,,2018-09-12 15:26:51,2018-09-12 15:27:19,28.262s,FAILED
,,,,,,
Test Cases/WHTroubleshootMakeApptFail,Chrome 68.0.3440.106,Make an appointment Failure,2018-09-12 15:27:19,2018-09-12 15:27:49,29.549s,FAILED
openBrowser,Chrome 68.0.3440.106,,2018-09-12 15:27:20,2018-09-12 15:27:23,2.916s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-12 15:27:23,2018-09-12 15:27:26,3.090s,PASSED
click,Chrome 68.0.3440.106,,2018-09-12 15:27:26,2018-09-12 15:27:49,22.823s,FAILED
