Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TSTroubleshoot,Chrome 68.0.3440.84,Troubleshooting test suite,2018-08-08 13:18:38,2018-08-08 13:20:01,1m - 23.248s,FAILED
,,,,,,
Test Cases/WHTroubleshootMakeAppt,Chrome 68.0.3440.84,Make an appointment,2018-08-08 13:18:38,2018-08-08 13:19:22,43.815s,FAILED
openBrowser,Chrome 68.0.3440.84,,2018-08-08 13:18:39,2018-08-08 13:18:43,4.133s,PASSED
navigateToUrl,Chrome 68.0.3440.84,,2018-08-08 13:18:43,2018-08-08 13:18:44,1.663s,PASSED
click,Chrome 68.0.3440.84,,2018-08-08 13:18:44,2018-08-08 13:18:45,0.676s,PASSED
setText,Chrome 68.0.3440.84,,2018-08-08 13:18:45,2018-08-08 13:18:46,0.412s,PASSED
setText,Chrome 68.0.3440.84,,2018-08-08 13:18:46,2018-08-08 13:18:46,0.320s,PASSED
click,Chrome 68.0.3440.84,,2018-08-08 13:18:46,2018-08-08 13:18:46,0.390s,PASSED
selectOptionByValue,Chrome 68.0.3440.84,,2018-08-08 13:18:46,2018-08-08 13:18:47,0.521s,PASSED
click,Chrome 68.0.3440.84,,2018-08-08 13:18:47,2018-08-08 13:18:47,0.191s,PASSED
setText,Chrome 68.0.3440.84,,2018-08-08 13:18:47,2018-08-08 13:18:47,0.505s,PASSED
setText,Chrome 68.0.3440.84,,2018-08-08 13:18:47,2018-08-08 13:18:48,0.693s,PASSED
click,Chrome 68.0.3440.84,,2018-08-08 13:18:48,2018-08-08 13:18:49,0.363s,PASSED
click,Chrome 68.0.3440.84,,2018-08-08 13:18:49,2018-08-08 13:19:22,33.490s,FAILED
,,,,,,
Test Cases/WHTroubleshootMakeApptFail,Chrome 68.0.3440.84,Make an appointment Failure,2018-08-08 13:19:22,2018-08-08 13:20:00,38.086s,FAILED
openBrowser,Chrome 68.0.3440.84,,2018-08-08 13:19:22,2018-08-08 13:19:26,4.033s,PASSED
navigateToUrl,Chrome 68.0.3440.84,,2018-08-08 13:19:26,2018-08-08 13:19:27,0.536s,PASSED
click,Chrome 68.0.3440.84,,2018-08-08 13:19:27,2018-08-08 13:20:00,33.134s,FAILED
